respondiente_id,fecha_envio,genero,edad_rango,situacion_actual,nivel_estudios,sector_residencia,tipo_actor,pertenece_agrupacion,identidad_local,fortaleza_comunal,oportunidad,debilidad,amenaza,nota_atencion_presencial,nota_atencion_digital,idea_innovadora,es_nna
CIU079,9/11/2025 ,Mujer,30–44 años,Dedicado(a) a labores del hogar o cuidados familiares,Educación universitaria incompleta,11. Rengo Urbano,"Deportivo,",Rara vez,Débil,,,Falta de educación medio ambiental,Basura,4.0,3.0,Trabajar más  en los puntos limpios,0
CIU080,9/11/2025 ,Mujer,45–59 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,"Deportivo,",No,Débil,,,Poca seguridad,Delincuencia,4.0,2.0,,0
CIU081,17/11/2025,Mujer,45–59 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,"Privado Empresarial, Económico",No,Débil,Una avenida principal que cruza toda la ciudad,Tener identidad,Comercio informal,Comercio informal,3.0,4.0,,0
CIU082,19/11/2025,Mujer,60 años o más,Trabajando con contrato formal,Educación universitaria completa,19. Cóbil Abajo,"Público, Político",Sí,Débil,Ubicación cerca de la Ruta y de la capital regional,Desarrollo turístico con identidad cultural local,Si,Contaminación del Río Claro,4.0,3.0,"Buen equipo de gestión, con el objetivo de instalar una cultura ecológica",0
CIU083,19/11/2025,Hombre,45–59 años,Trabajando con contrato formal,Educación media completa,11. Rengo Urbano,"Público, Político",Rara vez,Débil,Nada,Económica y Negocio,"La fuerza laboral, la cultura y la atención a los niños y adulto mayor",Inseguridad y la llegada de los extranjeros,2.0,2.0,"Oficina Móvil, con un municipio que salga a terreno",0
CIU084,19/11/2025,Mujer,45–59 años,Trabajando con contrato formal,Educación universitaria incompleta,11. Rengo Urbano,"Privado Empresarial, Empresa sin fines de lucro",No,Débil,Es barato que otras ciudades cercanas,Turismo,"Seguridad y migracion indocumentada, tomas",Falta de comercio (que no sean Mall Chino),4.0,4.0,,0
CIU085,25/11/2025,Mujer,45–59 años,En situación de discapacidad o enfermedad prolongada,Educación media completa,11. Rengo Urbano,"Público, Socieda Civil (Junta de vecinos, COSOC)",Sí,Fuerte,Buenas gestiones e innovación en cuanto a integración a la comunidad,Emprender en empresas para que rengo no sea una ciudad dormitorio..licitar a nuevas empresas así nuestro rengo querido tendrá oportunidad de surgir ayudando a la comunidad trabajo,Falta de personal en el área de la dao para trabajar en áreas verdes ya que rengo crece muy rápido en cuanto a construcciones de poblaciónes,Es en cuanto a personas extranjeros que ha llegado a nuestra ciudad...muchas delincuencia y muchas facilidades que se les da a estás personas,4.0,5.0,Dar respuesta mas efectiva para los ciudadanos,0
CIU086,25/11/2025,Hombre,45–59 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,"Público, Orden y Seguridad",No,Débil,Ubicación cercana a  ruta 5 sur,Vecinos de la comuna en cámara de Diputados,Publicidad sobre la comuna y turismo,Turismo local débil,4.0,3.0,Municipio en tú barrio,0
CIU087,25/11/2025,Hombre,18–29 años,Estudiando,Educación técnico-profesional incompleta,11. Rengo Urbano,"Público, Económico",No,Débil,Medio ambiente,Atractivo turístico,Poca oportunidad de trabajo,Seguridad,5.0,5.0,"Propondría crear un Centro de Innovación Comunitaria, donde vecinos y emprendedores puedan presentar ideas, recibir apoyo municipal y trabajar juntos en proyectos que mejoren el barrio, como reciclaje, seguridad, áreas verdes y tecnología.",1
CIU088,25/11/2025,Mujer,30–44 años,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,"Público, Socieda Civil (Junta de vecinos, COSOC)",Sí,Fuerte,Fomentar la cultura,innovación digital,inclusión,sectores inseguros,4.0,5.0,pago de aseo domiciliario,0
CIU089,25/11/2025,Mujer,45–59 años,Trabajando de manera independiente o informal,Educación técnico-profesional completa,11. Rengo Urbano,"Público,",Rara vez,Débil,La población,Seguridad,Los extranjeros,La mala administración del pais,4.0,4.0,,0
CIU090,25/11/2025,Mujer,30–44 años,Trabajando de manera independiente o informal,Educación técnico-profesional completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC), Medio Ambiental",Sí,Débil,Aún se pueden realizar actividades al aire libre,Comunicaciones,No hay inversion en la parte cultural ni en concientizar a la gente con hábitos,Inversión en mucho espectáculo para la gente y no hay una real inversión en mejorar la calidad de los renguinos,3.0,2.0,Que las personas que atienden público tengan más empatía para resolver los problemas que presenta la gente al momento de atenderlos,0
CIU091,25/11/2025,Hombre,45–59 años,Trabajando con contrato formal,Educación técnico-profesional completa,Los Migueles,"Público, Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Ninguna,Infraestructura recreación,Edificaciones son más posibilidades de modernizar,Nos estamos quedando atrasados,3.0,1.0,Crear un grupo de gestión el cual fiscalice y pueda reportar directamente anomalías detectadas en todas las áreas. Este grupo debe ser reducido y anónimo.,0
CIU092,25/11/2025,Mujer,45–59 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC), Religioso",Sí,Débil,Crecimoento en avenidas y conectividad,Fomentar el Deporte en nuestros jovenes y adultos,Falta de empresas que otorguen puestos laborales a nuestros vecinos,"Los extranjeros ilegales que invaden los campamentos  en Rengo, donde la inseguridad y la delincuencia no temen a la ley",5.0,5.0,"Que sigan con las clinicas moviles de atencion municipal  en las villas y alrededores de Rengo, acercando cada vez el municipio a sus vecinos",0
CIU093,25/11/2025,Mujer,30–44 años,Dedicado(a) a labores del hogar o cuidados familiares,Educación técnico-profesional completa,11. Rengo Urbano,"Público, Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Solidaridad,Desarrollo social,"La vulnerabilidad de sus sectores abandonados incluirlos para que sus vecinos se motiven a participar más de actividades recreativas para hacer que Rengo crezca en todo sentido , falta crear más espac",La Delincuencia y el poco apoyo a los sectores vulnerados por la delincuencia,2.0,1.0,Usar los correos electrónicos para las solicitudes y que realmente den una respuesta  que no queden en el olvido.en el área social más visitas de asistentes sociales a lugares vulnerables para que vean la realidad en terreno tenemos muchas familias con problemas serios de pobreza salud e incluso niñ,0
CIU094,25/11/2025,Mujer,30–44 años,Buscando empleo,Educación técnico-profesional completa,1. Lo Cartagena,"Público, Religioso",Sí,Débil,Que la comunidad rural no se toma en cuenta,Tomar en cuenta las localidades rurales,Para la comuna de rengo los sectores rurales no existen,"Extranjeros sin documentos, peleas los fines de semana y nula seguridad para mis vecino los fines de semana",4.0,5.0,Mas personal para ayudar a la gente que lo necesita,0
CIU095,25/11/2025,Mujer,30–44 años,Trabajando de manera independiente o informal,Educación universitaria completa,Villa alto San Martin,"Público, Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Centros de salud,"Más servicios de cadena nacional, terrenos para construir","Pocos servicios de cadenas nacionales , falta más conectividad salidas y entradas a la cuidad",Cantidad de automóviles y poca conectividad,2.0,3.0,Página web con mayor atención de servicios como por ejemplo pagos en distintas áreas,0
CIU096,25/11/2025,Mujer,30–44 años,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,"Público, Deportivo",Rara vez,Fuerte,La Educación,Su medio ambiente,Mantención de áreas verdes,La delincuencia,5.0,5.0,"Gestión de Residuos Inteligente: Implementar un sistema de reciclaje y compostaje con incentivos para los hogares y empresas, y explorar la creación de programas para reutilizar materiales en la propia ciudad.",0
CIU097,25/11/2025,Mujer,45–59 años,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,"Público,",No,Fuerte,,,Limpieza de calles,Drogadicción,3.0,3.0,Contratar personal idoneo con curriculum.,0
CIU098,25/11/2025,Hombre,30–44 años,Trabajando con contrato formal,Educación técnico-profesional incompleta,11. Rengo Urbano,"Privado Empresarial, Socieda Civil (Junta de vecinos, COSOC)",Sí,Muy débil,"La principal fortaleza de Rengo es su paisaje natural, especialmente sus entornos cordilleranos y rurales, que ofrecen un atractivo único para el turismo y la vida al aire libre.","La principal oportunidad que tiene Rengo para innovar o transformarse a nivel comunal se encuentra en el turismo, especialmente en el trekking y la puesta en valor de los paisajes de nuestra cordiller","La principal debilidad que Rengo debe resolver para mejorar a nivel comunal es el deterioro visible de los espacios públicos, especialmente en áreas verdes y calles, donde se aprecia un nivel de aband","Una de las principales amenazas para Rengo es el aumento de la inseguridad y la delincuencia a nivel nacional, ya que este problema puede llegar y crecer en la comuna. Esto podría afectar la llegada d",3.0,3.0,,0
CIU099,25/11/2025,Mujer,45–59 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,"Público, Económico",No,Muy débil,La agricultura,,Falta de identidad y protagonismo,El narcotrafico,1.0,1.0,Cabildos abiertos y participativos,0
CIU100,25/11/2025,Mujer,30–44 años,Dedicado(a) a labores del hogar o cuidados familiares,Educación técnico-profesional completa,23. Chanqueahue,"Socieda Civil (Junta de vecinos, COSOC), Aca no existen mas organizaciones",Sí,Débil,"Un lugar hermoso, pero no tenemos mucho turismo xq no exite plan de mostrar nuestra comuna","Tenemos la laguna los cristales, sin acceso, patrimonios destruidos, tenemos patrimonio humano olvidado",Mucho campamento y descuido de lugares donde existe venta de droga y otros actos contra la ley,La inseguridad y poca preocupacion por lugares que son hermosos,1.0,1.0,"Mejorar la contratacion de personal municipal, xq existen muchos pitutos y personas que realmente no sirven para esos trabajos",0
CIU101,25/11/2025,Mujer,45–59 años,Buscando empleo,Educación técnico-profesional completa,Villa Deseada,"Socieda Civil (Junta de vecinos, COSOC), Deportivo",Sí,Fuerte,Orden y limpieza,Trabajar en atractivos turísticos y hoteleros,Narcotráfico,Alcohol y drogas,5.0,2.0,Turismo rural,0
CIU102,25/11/2025,Mujer,45–59 años,En situación de discapacidad o enfermedad prolongada,Educación técnico-profesional completa,11. Rengo Urbano,"Público, Político",Rara vez,Muy débil,Identidad,Turismo,Inmigración descontrolada,Inmigración descontrolada,4.0,4.0,Un hogar de paso para quienes sufren violencia instrafamiliar. Y que cada persona en condición de indigente estudie y reciba atención médica.,0
CIU103,25/11/2025,Hombre,30–44 años,Trabajando con contrato formal,Educación media completa,11. Rengo Urbano,"Público, Deportivo",Sí,Muy fuerte,lo amplia que es,turismo,seguridad,seguridad,4.0,3.0,"mejoras los tramites en linea, gran parte de las personas que viven en rengo trabajan fuera de la comuna y como por ejemplo no hay tiempo para ir a pagar el derecho a retiro de basura",0
CIU104,26/11/2025,Mujer,30–44 años,Trabajando de manera independiente o informal,Educación universitaria completa,11. Rengo Urbano,"Público,",No,No lo sé,Identidad,Áreas verdes,Campamentos,Delincuencia,3.0,3.0,,0
CIU105,26/11/2025,Mujer,60 años o más,Jubilado(a) o pensionado(a),Educación técnico-profesional completa,16. Rinconada de Malambo,"Socieda Civil (Junta de vecinos, COSOC), Cuidadora y dueña de casa",Sí,Muy débil,La desconozco,No hay,Exceso de extranjeros y locales chinos,"Exceso de extranjeros, locales chinos y locales de juegos.",4.0,4.0,Recursos para cultura y menis para fiesta vendimia.,0
CIU106,26/11/2025,Hombre,60 años o más,Trabajando con contrato formal,Educación media completa,11. Rengo Urbano,"Público, Artesano",Rara vez,Muy débil,Salud y cultura,Cultura y tecnología,Laboral y tecnológia,Medio ambiental,2.0,2.0,,0
CIU107,26/11/2025,Hombre,45–59 años,Trabajo en mi empresa,Educación universitaria incompleta,11. Rengo Urbano,"Privado Empresarial, Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Sus autoridades comprometidos,El turismo,La gente sucia,La pertenencia pr parte de la gente de Rengo,5.0,4.0,Mejorar los tramites digitales TODOS,0
CIU108,26/11/2025,Hombre,30–44 años,Honorario,Educación técnico-profesional incompleta,11. Rengo Urbano,"Político, Deportivo",Sí,Fuerte,Agricultura,Crear mas talleres a para las juntas de vecinos,mayor empleo mas empresas,Delincuencia,5.0,5.0,Mas rapido las respuestas de las solicitudes,0
CIU109,26/11/2025,Mujer,60 años o más,Dedicado(a) a labores del hogar o cuidados familiares,Educación técnico-profesional incompleta,23. Chanqueahue,"Religioso, Económico,",No,No lo sé,Comercio establecido,Turismo,Delincuencia,Delincuencia,3.0,2.0,Dar respuestas oportunas cuando se ingresa un reclamo,0
CIU110,26/11/2025,Mujer,18–29 años,Trabajando con contrato formal,Educación universitaria completa,Callejón Los Migueles,"Público, Privado Empresarial",Sí,Débil,La plaza,Transformar los terrenos abandonados,La basura (contaminacion) y abandono de animales,El abandono de animales,3.0,3.0,"Socio educación hacia las personas mayores que no saben hacer trámites y también, para extranjeros",1
CIU111,26/11/2025,Mujer,60 años o más,Trabajando de manera independiente o informal,Educación universitaria completa,11. Rengo Urbano,"Deportivo, particular/privado",No,Fuerte,buena conectividad con Santiago y la costa,crecer hacia los cerros de la precordillera,escasez de oportunidades laborales,pérdida de terrenos agrícolas,3.0,3.0,que dejen de tutear a los ciudadanos y que respeten el cargo vistiendo adecuadamente,0
CIU112,26/11/2025,Mujer,60 años o más,Jubilado(a) o pensionado(a),Educación universitaria completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC), Medio Ambiental",Rara vez,Fuerte,Laguna de Los Cristales y río Claro,Implementar ciclovías en área urbana y prohibir circulación de vehículos particulares en el centro dd la ciudad,"Falta de áreas verdes, parques con flora nativa y congestión vehicular",Cambio climático,4.0,4.0,,0
CIU113,27/11/2025,Mujer,18–29 años,Estudiando,Educación media completa,11. Rengo Urbano,"Público, Político, Privado Empresarial, Orden y Seguridad, Económico, Cultural, ",Rara vez,Débil,cultura,so,seguridad,infraestructura,3.0,3.0,,1
CIU114,27/11/2025,Mujer,60 años o más,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,"Público, Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Sus exportaciones,El próximo hospital y dejar de ser cuidad dormitorio,Desorden y suciedad,"No cumplir los estanderes que ofrecen en construcción, exportacion ,no hacer valer las leyes o dictamen adquiridos",3.0,1.0,Inducción al personal para una atencion adecuada  despues se verá la innovación,0
CIU115,28/11/2025,Mujer,30–44 años,Buscando empleo,Educación universitaria incompleta,11. Rengo Urbano,"Público, Socieda Civil (Junta de vecinos, COSOC),",Sí,Fuerte,Plaza de armas,Turismo,Escasa fuente laboral,Educación y capacitación,4.0,3.0,Que aprovechen las redes sociales para acercar la municipalidad a todos. Informando a la comunidad de los beneficios y oportunidades con un lenguaje sencillo y amigable,0
CIU116,6/12/2025 ,Mujer,30–44 años,Dedicado(a) a labores del hogar o cuidados familiares,Educación universitaria completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC), Religioso, Económico",Sí,Débil,Lugar relativamente tranquilo libre de delincuencia,Potenciar turismo y lugares de interés que se encuentran en desuso,Lugares turísticos desconocidos,Presencia de delincuentes extranjeros en la comuna,4.0,3.0,"Plataforma para trámites de pago online, trámites en línea etc",0
CIU117,6/12/2025 ,Hombre,30–44 años,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC), Religioso",Sí,Débil,Cercania a rancagua y stgo,Turismo,Accesos,Inseguridad,3.0,4.0,Horario de atenciob,0
CIU118,6/12/2025 ,Mujer,30–44 años,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,"Público, Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Aseo y ornato,Salud,Seguridad,Delincuencia,4.0,3.0,,0
CIU119,10/12/2025,Mujer,30–44 años,Buscando empleo,Educación universitaria completa,11. Rengo Urbano,"Público, Socieda Civil (Junta de vecinos, COSOC)",Sí,Débil,Conectividad,Demanda creciente por calidad de vida y tranquilidad,Escasa fuente laboral para profesionales,Aumento de delincuencia,4.0,2.0,Red vecinal digital (comunicación directa entre rep. de cada barrio y direcciones municipales para identificar necesidades focalizadas de forma directa,0
